# --- BURST CONFIGURATION LOG ---
# Frequency (Hz): 1000
# Amplitude Applied (V): 0.2
# Burst Cycles: 2
# Limiting Resistor (Ohm): 1100.0
# Hard Max Voltage Limit (V): 0.4
# Sense Channels AC Coupled: True
# V_Sample Calculation: CH4 - CH3
# Savitzky-Golay Filter: Window=101, Poly=3
# -------------------------------
Time_s,CH1_V_Supply_Raw,CH2_V_Resistor_Raw,CH3_V_SenseP_Raw,CH4_V_SenseN_Raw,I_Sample_A_Raw,V_Sample_V_Raw,I_Sample_A_Filt,V_Sample_V_Filt
0.0,0.0,-0.001824,-0.001424,-0.001464,1.6581818181818183e-06,-4.0000000000000105e-05,1.357799125517262e-06,0.00019424412293181853
4e-07,0.0,-0.001824,-0.001424,-0.001464,1.6581818181818183e-06,-4.0000000000000105e-05,1.3361153320445613e-06,0.00016871199788783336
8e-07,0.0,-0.001824,-0.001424,-0.001464,1.6581818181818183e-06,-4.0000000000000105e-05,1.3153223363727312e-06,0.00014467615736840397
1.2e-06,0.0,-0.001824,-0.001424,-0.001464,1.6581818181818183e-06,-4.0000000000000105e-05,1.2954042215240323e-06,0.00012210460342084665
1.6e-06,0.0,-0.001824,-0.001424,-0.001464,1.6581818181818183e-06,-4.0000000000000105e-05,1.2763450705207247e-06,0.0001009653380924776
2e-06,0.0,-0.001824,-0.001424,-0.001464,1.6581818181818183e-06,-4.0000000000000105e-05,1.2581289663850693e-06,8.122636343061317e-05
2.4e-06,0.0,-0.001824,-0.001424,0.0,1.6581818181818183e-06,0.001424,1.2407399921393266e-06,6.28556814825696e-05
2.8e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.2241622308057569e-06,4.582129429566318e-05
3.2e-06,0.0,-0.001824,0.0,0.0,1.6581818181818183e-06,0.0,1.2083797654066208e-06,3.009120391721015e-05
3.6e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.1933766789641789e-06,1.5633412394526816e-05
4e-06,0.0,-0.001824,0.0,0.0,1.6581818181818183e-06,0.0,1.1791370545006916e-06,2.4159217749294395e-06
4.4e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.1656449750384194e-06,-9.59326589426574e-06
4.8e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.1528845235996228e-06,-2.0426148565742374e-05
5.199999999999999e-06,0.0,-0.001824,0.0,0.0,1.6581818181818183e-06,0.0,1.1408397832065625e-06,-3.0114724192184305e-05
5.6e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.1294948368814988e-06,-3.869099072627513e-05
6e-06,0.0,-0.001824,0.0,0.0,1.6581818181818183e-06,0.0,1.1188337676466923e-06,-4.618694612069864e-05
6.4e-06,0.0,-0.001824,0.0,0.0,1.6581818181818183e-06,0.0,1.1088406585244034e-06,-5.263458832813862e-05
6.799999999999999e-06,0.0,-0.001824,-0.001424,-0.001464,1.6581818181818183e-06,-4.0000000000000105e-05,1.099499592536893e-06,-5.8065915301278666e-05
7.2e-06,0.0,-0.001824,-0.001424,-0.001464,1.6581818181818183e-06,-4.0000000000000105e-05,1.0907946527064211e-06,-6.251292499280265e-05
7.6e-06,0.0,-0.001824,0.0,-0.001464,1.6581818181818183e-06,-0.001464,1.0827099220552486e-06,-6.600761535539417e-05
8e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0752294836056355e-06,-6.858198434173704e-05
8.4e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.068337420379843e-06,-7.026802990451497e-05
8.8e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0620178154001313e-06,-7.109774999641166e-05
9.2e-06,0.0,0.0,0.0,0.001464,0.0,0.001464,1.0562547516887608e-06,-7.110314257011087e-05
9.6e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.051032312267992e-06,-7.031620557829626e-05
9.999999999999999e-06,0.0,-0.001824,0.0,0.0,1.6581818181818183e-06,0.0,1.0463345801600855e-06,-6.876893697365164e-05
1.0399999999999999e-05,0.0,-0.001824,-0.001424,-0.001464,1.6581818181818183e-06,-4.0000000000000105e-05,1.0421456383873021e-06,-6.649333470886077e-05
1.08e-05,0.0,-0.001824,-0.001424,-0.001464,1.6581818181818183e-06,-4.0000000000000105e-05,1.038449569971902e-06,-6.352139673660725e-05
1.12e-05,0.0,-0.001824,-0.001424,-0.002928,1.6581818181818183e-06,-0.0015040000000000001,1.0352304579361456e-06,-5.988512100957489e-05
1.1599999999999999e-05,0.0,-0.001824,-0.001424,-0.001464,1.6581818181818183e-06,-4.0000000000000105e-05,1.0324723853022935e-06,-5.561650548044746e-05
1.2e-05,0.0,0.0,-0.001424,-0.001464,0.0,-4.0000000000000105e-05,1.0301594350926063e-06,-5.074754810190839e-05
1.24e-05,0.0,-0.001824,-0.001424,-0.001464,1.6581818181818183e-06,-4.0000000000000105e-05,1.0282756903293445e-06,-4.531024682664198e-05
1.28e-05,0.0,-0.001824,-0.001424,-0.001464,1.6581818181818183e-06,-4.0000000000000105e-05,1.0268052340347688e-06,-3.933659960733135e-05
1.3199999999999999e-05,0.0,0.0,-0.001424,0.0,0.0,0.001424,1.0257321492311394e-06,-3.285860439666065e-05
1.3599999999999999e-05,0.0,-0.001824,-0.001424,-0.001464,1.6581818181818183e-06,-4.0000000000000105e-05,1.0250405189407166e-06,-2.5908259147313333e-05
1.4e-05,0.0,-0.001824,-0.001424,-0.001464,1.6581818181818183e-06,-4.0000000000000105e-05,1.0247144261857617e-06,-1.851756181197342e-05
1.44e-05,0.0,-0.001824,-0.001424,-0.001464,1.6581818181818183e-06,-4.0000000000000105e-05,1.0247379539885345e-06,-1.0718510343324405e-05
1.4799999999999999e-05,0.0,-0.001824,-0.001424,-0.001464,1.6581818181818183e-06,-4.0000000000000105e-05,1.025095185371296e-06,-2.5431026940499115e-06
1.52e-05,0.0,-0.001824,-0.001424,-0.001464,1.6581818181818183e-06,-4.0000000000000105e-05,1.0257702033563063e-06,5.976663183165947e-06
1.56e-05,0.0,-0.001824,-0.001424,-0.001464,1.6581818181818183e-06,-4.0000000000000105e-05,1.0267470909658261e-06,1.48087893356396e-05
1.6e-05,0.0,0.0,-0.001424,-0.001464,0.0,-4.0000000000000105e-05,1.0280099312221158e-06,2.3921277810687693e-05
1.64e-05,0.0,0.0,-0.001424,-0.001464,0.0,-4.0000000000000105e-05,1.0295428071474363e-06,3.328213065562584e-05
1.68e-05,0.0,-0.001824,-0.001424,-0.001464,1.6581818181818183e-06,-4.0000000000000105e-05,1.0313298017640474e-06,4.285934991777099e-05
1.7199999999999998e-05,0.0,-0.001824,-0.001424,-0.001464,1.6581818181818183e-06,-4.0000000000000105e-05,1.0333549980942103e-06,5.2620937644438866e-05
1.76e-05,0.0,-0.001824,-0.001424,-0.001464,1.6581818181818183e-06,-4.0000000000000105e-05,1.0356024791601852e-06,6.2534895882946e-05
1.8e-05,0.0,-0.001824,-0.001424,-0.001464,1.6581818181818183e-06,-4.0000000000000105e-05,1.0380563279842327e-06,7.25692266806087e-05
1.84e-05,0.0,-0.001824,-0.001424,-0.001464,1.6581818181818183e-06,-4.0000000000000105e-05,1.0407006275886132e-06,8.269193208474291e-05
1.88e-05,0.0,-0.001824,-0.001424,-0.001464,1.6581818181818183e-06,-4.0000000000000105e-05,1.0435194609955874e-06,9.287101414266554e-05
1.92e-05,0.0,-0.001824,-0.001424,-0.001464,1.6581818181818183e-06,-4.0000000000000105e-05,1.0464969112274156e-06,0.00010307447490169223
1.96e-05,0.0,-0.001824,-0.001424,-0.001464,1.6581818181818183e-06,-4.0000000000000105e-05,1.0496170613063585e-06,0.00011327031640913939
1.9999999999999998e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0528639942545268e-06,0.00012342654071230595
2.0399999999999998e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0752323670141294e-06,0.0001275854808781666
2.0799999999999997e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0968520682605088e-06,0.0001314108342872934
2.12e-05,0.0,-0.001824,0.0,0.0,1.6581818181818183e-06,0.0,1.0943403960871134e-06,0.0001349014357746261
2.16e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.093567573879915e-06,0.0001380561201751045
2.2e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.1179646049334139e-06,0.00014087372232366848
2.24e-05,0.0,-0.001824,0.0,0.0,1.6581818181818183e-06,0.0,1.1417095672495892e-06,0.00014335307705525774
2.28e-05,0.0,-0.001824,-0.001424,-0.001464,1.6581818181818183e-06,-4.0000000000000105e-05,1.1648507622163904e-06,0.0001683337032732158
2.3199999999999998e-05,0.0,-0.001824,-0.001424,-0.001464,1.6581818181818183e-06,-4.0000000000000105e-05,1.1615662678357966e-06,0.00017295334970387759
2.3599999999999998e-05,0.0,-0.001824,-0.001424,-0.001464,1.6581818181818183e-06,-4.0000000000000105e-05,1.1811573107882797e-06,0.00017733390426418738
2.4e-05,0.0,-0.001824,-0.001424,-0.001464,1.6581818181818183e-06,-4.0000000000000105e-05,1.1743709657813178e-06,0.00018147536695414514
2.44e-05,0.0,-0.001824,-0.001424,-0.001464,1.6581818181818183e-06,-4.0000000000000105e-05,1.1670774562008815e-06,0.00018537773777375075
2.48e-05,0.0,0.0,-0.001424,0.0,0.0,0.001424,1.1358457787524702e-06,0.0001896062382937051
2.52e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.1040586353426351e-06,0.0001935379712728277
2.56e-05,0.0,0.0,0.0,0.001464,0.0,0.001464,1.0975379479693974e-06,0.00019717410187617874
2.6e-05,0.0,0.0,0.0,0.001464,0.0,0.001464,1.066982489952285e-06,0.00020051579526881853
2.6399999999999998e-05,0.0,0.0,0.0,0.001464,0.0,0.001464,1.0616451865838201e-06,0.00020356421661580718
2.6799999999999998e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0580950345695018e-06,0.00020632053108220487
2.7199999999999997e-05,0.0,-0.001824,0.0,0.0,1.6581818181818183e-06,0.0,1.05633203390933e-06,0.0002081618414268313
2.76e-05,0.0,-0.001824,-0.001424,-0.001464,1.6581818181818183e-06,-4.0000000000000105e-05,1.056356184603305e-06,0.0002096533692203871
2.8e-05,0.0,-0.001824,-0.001424,-0.001464,1.6581818181818183e-06,-4.0000000000000105e-05,1.0581674866514267e-06,0.0001678913833130645
2.84e-05,0.0,-0.001824,-0.001424,-0.001464,1.6581818181818183e-06,-4.0000000000000105e-05,1.0593267199622241e-06,0.00014859501484126866
2.88e-05,0.0,-0.001824,-0.001424,-0.001464,1.6581818181818183e-06,-4.0000000000000105e-05,1.033963661149727e-06,0.00013103567444121175
2.9199999999999998e-05,0.0,-0.001824,-0.001424,-0.001464,1.6581818181818183e-06,-4.0000000000000105e-05,1.0079002322119564e-06,0.00013585899172439568
2.9599999999999998e-05,0.0,-0.001824,-0.001424,-0.001464,1.6581818181818183e-06,-4.0000000000000105e-05,9.810881317609617e-07,0.00014237902236823586
2.9999999999999997e-05,0.0,-0.001824,-0.001424,-0.001464,1.6581818181818183e-06,-4.0000000000000105e-05,9.534790584087937e-07,0.00015059693153779234
3.04e-05,0.0,-0.001824,-0.001424,-0.001464,1.6581818181818183e-06,-4.0000000000000105e-05,9.508949341534736e-07,0.00015836030981736682
3.0799999999999996e-05,0.0,0.0,-0.001424,0.0,0.0,0.001424,9.499047557005005e-07,0.00016504625996577877
3.12e-05,0.0,0.0,0.0,0.0,0.0,0.0,9.505085230498745e-07,0.00017122000355372888
3.1599999999999996e-05,0.0,0.0,0.0,0.001464,0.0,0.001464,9.527062362015953e-07,0.0001540408565128137
3.2e-05,0.0,0.001824,0.0,0.0,-1.6581818181818183e-06,0.0,9.56497895155663e-07,0.00015699396735787836
3.24e-05,0.0,-0.001824,0.0,0.0,1.6581818181818183e-06,0.0,9.360132765261067e-07,0.0001593922266012781
3.28e-05,0.0,-0.001824,-0.001424,0.0,1.6581818181818183e-06,0.001424,9.63936308899949e-07,0.000140548524755368
3.32e-05,0.0,-0.001824,-0.001424,-0.001464,1.6581818181818183e-06,-4.0000000000000105e-05,9.91014066984668e-07,0.00014338278876429276
3.36e-05,0.0,-0.003648,-0.001424,-0.002928,3.3163636363636367e-06,-0.0015040000000000001,9.914246287822423e-07,0.00016851791586923272
3.4e-05,0.0,-0.001824,-0.001424,-0.001464,1.6581818181818183e-06,-4.0000000000000105e-05,1.014469220973144e-06,0.00017246759239028227
3.4399999999999996e-05,0.0,-0.001824,-0.001424,-0.001464,1.6581818181818183e-06,-4.0000000000000105e-05,1.013334138356321e-06,0.00017591776265002618
3.48e-05,0.0,-0.001824,-0.001424,-0.001464,1.6581818181818183e-06,-4.0000000000000105e-05,1.0373206076122457e-06,0.00017886726148340422
3.52e-05,0.0,-0.001824,-0.001424,-0.001464,1.6581818181818183e-06,-4.0000000000000105e-05,1.037175703448396e-06,0.00016119303580841213
3.56e-05,0.0,0.0,-0.001424,0.0,0.0,0.001424,1.0387696492507432e-06,0.00016519095016295378
3.6e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0421024450192868e-06,0.00016920843929050673
3.64e-05,0.0,-0.001824,0.0,0.0,1.6581818181818183e-06,0.0,1.021303867368056e-06,0.00017262144078483048
3.68e-05,0.0,-0.001824,0.0,0.0,1.6581818181818183e-06,0.0,1.0231876214981027e-06,0.00017486473307522425
3.7199999999999996e-05,0.0,-0.001824,0.0,0.0,1.6581818181818183e-06,0.0,1.0477537074094261e-06,0.00017656121340286837
3.76e-05,0.0,-0.001824,0.0,0.0,1.6581818181818183e-06,0.0,1.071619423195476e-06,0.00017770971660270284
3.7999999999999995e-05,0.0,-0.001824,0.0,0.0,1.6581818181818183e-06,0.0,1.0948330702442023e-06,0.00017830907750966714
3.84e-05,0.0,-0.001824,0.0,0.0,1.6581818181818183e-06,0.0,1.1174429499435548e-06,0.00017835813095870145
3.88e-05,0.0,0.0,-0.001424,-0.001464,0.0,-4.0000000000000105e-05,1.1160663603869824e-06,0.00017785571178474525
