Freq.	V(n003)/-I(V1)
2.00000000000000e+01	1.56170885366766e+00,2.03780510437955e+01
2.04658598456151e+01	1.67691443323014e+00,1.99252573407963e+01
2.09425709610180e+01	1.78708885949645e+00,1.94817584465860e+01
2.14303861047521e+01	1.89244528805774e+00,1.90474015326921e+01
2.19295639228637e+01	1.99318841250007e+00,1.86220333798933e+01
2.24403690860393e+01	2.08951474931056e+00,1.82055006231505e+01
2.29630724299376e+01	2.18161291937669e+00,1.77976499710016e+01
2.34979510987906e+01	2.26966392233893e+00,1.73983284143954e+01
2.40452886923483e+01	2.35384140746246e+00,1.70073834088821e+01
2.46053754162476e+01	2.43431193689147e+00,1.66246630476348e+01
2.51785082358833e+01	2.51123524120176e+00,1.62500162267420e+01
2.57649910338627e+01	2.58476447277073e+00,1.58832927768781e+01
2.63651347711281e+01	2.65504644834411e+00,1.55243436015690e+01
2.69792576518331e+01	2.72222188583986e+00,1.51730207998221e+01
2.76076852920577e+01	2.78642563810116e+00,1.48291777587362e+01
2.82507508924551e+01	2.84778691405561e+00,1.44926692648844e+01
2.89087954149185e+01	2.90642949757707e+00,1.41633515835367e+01
2.95821677633641e+01	2.96247195781372e+00,1.38410825378072e+01
3.02712249687241e+01	3.01602785315791e+00,1.35257215776946e+01
3.09763323782496e+01	3.06720592925674e+00,1.32171298374089e+01
3.16978638492223e+01	3.11611030842877e+00,1.29151701972004e+01
3.24362019471786e+01	3.16284067623855e+00,1.26197073175455e+01
3.31917381487512e+01	3.20749245825576e+00,1.23306076871242e+01
3.39648730492349e+01	3.25015699227584e+00,1.20477396553626e+01
3.47560165749875e+01	3.29092169509312e+00,1.17709734551935e+01
3.55655882007784e+01	3.32987022116892e+00,1.15001812344097e+01
3.63940171721996e+01	3.36708261802535e+00,1.12352370661843e+01
3.72417427332573e+01	3.40263547395387e+00,1.09760169682769e+01
3.81092143592649e+01	3.43660206214965e+00,1.07223989051490e+01
3.89968919951609e+01	3.46905247701371e+00,1.04742628032705e+01
3.99052462993776e+01	3.50005376796700e+00,1.02314905440265e+01
4.08347588933905e+01	3.52967006548958e+00,9.99396597273233e+00
4.17859226170808e+01	3.55796270486202e+00,9.76157488584023e+00
4.27592417900446e+01	3.58499034310912e+00,9.53420503034769e+00
4.37552324789910e+01	3.61080907302341e+00,9.31174608791784e+00
4.47744227713667e+01	3.63547253024740e+00,9.09408967624448e+00
4.58173530553554e+01	3.65903199990620e+00,8.88112931755875e+00
4.68845763063984e+01	3.68153651413850e+00,8.67276044513419e+00
4.79766583803898e+01	3.70303295047094e+00,8.46888036831504e+00
4.90941783137006e+01	3.72356612308028e+00,8.26938826241603e+00
5.02377286301915e+01	3.74317887106550e+00,8.07418515135117e+00
5.14079156553772e+01	3.76191214409339e+00,7.88317388012779e+00
5.26053598379076e+01	3.77980508373492e+00,7.69625909317181e+00
5.38306960785382e+01	3.79689510024999e+00,7.51334722317319e+00
5.50845740667633e+01	3.81321794871875e+00,7.33434645515954e+00
5.63676586252890e+01	3.82880780105867e+00,7.15916669831998e+00
5.76806300625320e+01	3.84369731230898e+00,6.98771958458790e+00
5.90241845333276e+01	3.85791769031493e+00,6.81991840430743e+00
6.03990344080402e+01	3.87149875475090e+00,6.65567812018311e+00
6.18059086502717e+01	3.88446899977881e+00,6.49491531775304e+00
6.32455532033675e+01	3.89685565222005e+00,6.33754817395920e+00
6.47187313859256e+01	3.90868472488187e+00,6.18349645148962e+00
6.62262242965181e+01	3.91998107103539e+00,6.03268145552354e+00
6.77688312278404e+01	3.93076843551970e+00,5.88502600127818e+00
6.93473700905062e+01	3.94106950165377e+00,5.74045440454149e+00
7.09626778467150e+01	3.95090593885073e+00,5.59889244083658e+00
7.26156109540201e+01	3.96029844732530e+00,5.46026731408007e+00
7.43070458194344e+01	3.96926679945693e+00,5.32450764236824e+00
7.60378792641121e+01	3.97782988204677e+00,5.19154341102642e+00
7.78090289988560e+01	3.98600573243351e+00,5.06130597919838e+00
7.96214341106993e+01	3.99381158007092e+00,4.93372799779431e+00
8.14760555608224e+01	4.00126387711575e+00,4.80874344463304e+00
8.33738766940669e+01	4.00837833665307e+00,4.68628754376709e+00
8.53159037603184e+01	4.01516996305041e+00,4.56629676576834e+00
8.73031664480330e+01	4.02165308257397e+00,4.44870880761453e+00
8.93367184301924e+01	4.02784137603048e+00,4.33346252643951e+00
9.14176379229748e+01	4.03374790299130e+00,4.22049796952607e+00
9.35470282574394e+01	4.03938513306236e+00,4.10975629158350e+00
9.57260184645275e+01	4.04476496745020e+00,4.00117978953821e+00
9.79557638736890e+01	4.04989876936386e+00,3.89471179735877e+00
1.00237446725454e+02	4.05479738170935e+00,3.79029674542279e+00
1.02572276798273e+02	4.05947115410181e+00,3.68788007236509e+00
1.04961492049954e+02	4.06392996184984e+00,3.58740823788721e+00
1.07406359274050e+02	4.06818323019346e+00,3.48882864411028e+00
1.09908174771525e+02	4.07223994654151e+00,3.39208972312080e+00
1.12468265038070e+02	4.07610868938727e+00,3.29714076029000e+00
1.15087987467431e+02	4.07979763755467e+00,3.20393200204078e+00
1.17768731071118e+02	4.08331459217363e+00,3.11241455850801e+00
1.20511917214871e+02	4.08666699115668e+00,3.02254040879297e+00
1.23319000372296e+02	4.08986192572526e+00,2.93426236330280e+00
1.26191468896038e+02	4.09290615527547e+00,2.84753404078552e+00
1.29130845806931e+02	4.09580611954035e+00,2.76230987826985e+00
1.32138689601519e+02	4.09856795543296e+00,2.67854505563920e+00
1.35216595078396e+02	4.10119750705852e+00,2.59619551983641e+00
1.38366194183787e+02	4.10370033950749e+00,2.51521793887334e+00
1.41589156876827e+02	4.10608175022278e+00,2.43556968572760e+00
1.44887192014998e+02	4.10834678022602e+00,2.35720881573602e+00
1.48262048260183e+02	4.11050022467000e+00,2.28009404658602e+00
1.51715515005836e+02	4.11254664182755e+00,2.20418475607513e+00
1.55249423325738e+02	4.11449036545222e+00,2.12944091573097e+00
1.58865646944856e+02	4.11633551069792e+00,2.05582312410827e+00
1.62566103232819e+02	4.11808598508285e+00,1.98329254864354e+00
1.66352754220534e+02	4.11974549488269e+00,1.91181093685355e+00
1.70227607640475e+02	4.12131755566352e+00,1.84134055125166e+00
1.74192717991216e+02	4.12280549649237e+00,1.77184420395174e+00
1.78250187626749e+02	4.12421246921433e+00,1.70328519981593e+00
1.82402167871181e+02	4.12554145342295e+00,1.63562734591543e+00
1.86650860159398e+02	4.12679526526269e+00,1.56883489076538e+00
1.90998517204287e+02	4.12797655996090e+00,1.50287256325073e+00
1.95447444191162e+02	4.12908784093484e+00,1.43770549580611e+00
