Frecuencia (Hz),Mean A,SD A,Mean B,SD B,Amplitud (V)
20.000000E+0,0.000000E+0,0.000000E+0,0.000000E+0,0.000000E+0,400.000000E+0
25.000000E+0,80.438400E+0,0.000000E+0,18.773700E+0,0.000000E+0,400.000000E+0
30.000000E+0,80.382800E+0,0.000000E+0,12.824700E+0,0.000000E+0,400.000000E+0
40.000000E+0,81.562100E+0,0.000000E+0,9.377120E+0,0.000000E+0,400.000000E+0
50.000000E+0,81.286600E+0,0.000000E+0,7.578550E+0,0.000000E+0,400.000000E+0
60.000000E+0,79.897200E+0,0.000000E+0,6.357350E+0,0.000000E+0,400.000000E+0
75.000000E+0,79.874100E+0,0.000000E+0,4.545250E+0,0.000000E+0,400.000000E+0
100.000000E+0,80.422500E+0,0.000000E+0,3.323070E+0,0.000000E+0,400.000000E+0
120.000000E+0,80.269400E+0,0.000000E+0,2.646460E+0,0.000000E+0,400.000000E+0
150.000000E+0,79.895200E+0,0.000000E+0,1.555090E+0,0.000000E+0,400.000000E+0
200.000000E+0,86.238400E+0,0.000000E+0,866.501000E-3,0.000000E+0,400.000000E+0
250.000000E+0,79.982400E+0,0.000000E+0,449.631000E-3,0.000000E+0,400.000000E+0
300.000000E+0,79.851800E+0,0.000000E+0,-16.105700E-3,0.000000E+0,400.000000E+0
400.000000E+0,80.466300E+0,0.000000E+0,-883.194000E-3,0.000000E+0,400.000000E+0
500.000000E+0,79.688800E+0,0.000000E+0,-1.416210E+0,0.000000E+0,400.000000E+0
600.000000E+0,79.154400E+0,0.000000E+0,-2.063190E+0,0.000000E+0,400.000000E+0
750.000000E+0,78.684800E+0,0.000000E+0,-2.762590E+0,0.000000E+0,400.000000E+0
1.000000E+3,83.151200E+0,0.000000E+0,-3.802140E+0,0.000000E+0,400.000000E+0
1.200000E+3,80.534300E+0,0.000000E+0,-4.695500E+0,0.000000E+0,400.000000E+0
1.500000E+3,79.329300E+0,0.000000E+0,-5.944470E+0,0.000000E+0,400.000000E+0
2.000000E+3,78.414400E+0,0.000000E+0,-7.901800E+0,0.000000E+0,400.000000E+0
2.500000E+3,77.830000E+0,0.000000E+0,-10.054200E+0,0.000000E+0,400.000000E+0
3.000000E+3,76.428700E+0,0.000000E+0,-12.094400E+0,0.000000E+0,400.000000E+0
4.000000E+3,81.567300E+0,0.000000E+0,-15.853200E+0,0.000000E+0,400.000000E+0
5.000000E+3,75.165200E+0,0.000000E+0,-19.122300E+0,0.000000E+0,400.000000E+0
6.000000E+3,73.153700E+0,0.000000E+0,-22.777500E+0,0.000000E+0,400.000000E+0
7.500000E+3,71.266900E+0,0.000000E+0,-28.363800E+0,0.000000E+0,400.000000E+0
10.000000E+3,64.864200E+0,0.000000E+0,-36.163700E+0,0.000000E+0,400.000000E+0
12.000000E+3,57.969300E+0,0.000000E+0,-41.762100E+0,0.000000E+0,400.000000E+0
15.000000E+3,56.420700E+0,0.000000E+0,-49.171500E+0,0.000000E+0,400.000000E+0
20.000000E+3,34.038500E+0,0.000000E+0,-58.103000E+0,0.000000E+0,400.000000E+0
25.000000E+3,14.691200E+0,0.000000E+0,-62.706100E+0,0.000000E+0,400.000000E+0
30.000000E+3,-9.647050E+0,0.000000E+0,-66.596000E+0,0.000000E+0,400.000000E+0
40.000000E+3,-51.497300E+0,0.000000E+0,-56.549900E+0,0.000000E+0,400.000000E+0
50.000000E+3,-88.348100E+0,0.000000E+0,-37.409800E+0,0.000000E+0,400.000000E+0
60.000000E+3,-117.765000E+0,0.000000E+0,-6.822050E+0,0.000000E+0,400.000000E+0
75.000000E+3,-144.410000E+0,0.000000E+0,48.409400E+0,0.000000E+0,400.000000E+0
100.000000E+3,-141.607000E+0,0.000000E+0,134.996000E+0,0.000000E+0,400.000000E+0
120.000000E+3,-111.066000E+0,0.000000E+0,187.849000E+0,0.000000E+0,400.000000E+0
150.000000E+3,-53.368200E+0,0.000000E+0,239.106000E+0,0.000000E+0,400.000000E+0
200.000000E+3,53.138100E+0,0.000000E+0,257.199000E+0,0.000000E+0,400.000000E+0
