Frecuencia (Hz),Mean A,SD A,Mean B,SD B,Amplitud (V)
20.000000E+0,5.404500E+0,0.000000E+0,20.348900E+0,0.000000E+0,200.000000E+0
25.000000E+0,5.229000E+0,0.000000E+0,16.584200E+0,0.000000E+0,200.000000E+0
30.000000E+0,5.052100E+0,0.000000E+0,13.447400E+0,0.000000E+0,200.000000E+0
40.000000E+0,4.997190E+0,0.000000E+0,8.838910E+0,0.000000E+0,200.000000E+0
50.000000E+0,5.980770E+0,0.000000E+0,6.721140E+0,0.000000E+0,200.000000E+0
60.000000E+0,4.365550E+0,0.000000E+0,7.056240E+0,0.000000E+0,200.000000E+0
75.000000E+0,5.988660E+0,0.000000E+0,5.603960E+0,0.000000E+0,200.000000E+0
100.000000E+0,4.606030E+0,0.000000E+0,4.181200E+0,0.000000E+0,200.000000E+0
120.000000E+0,4.805990E+0,0.000000E+0,3.208700E+0,0.000000E+0,200.000000E+0
150.000000E+0,5.299030E+0,0.000000E+0,1.978800E+0,0.000000E+0,200.000000E+0
200.000000E+0,5.156340E+0,0.000000E+0,1.192470E+0,0.000000E+0,200.000000E+0
250.000000E+0,5.559880E+0,0.000000E+0,655.163000E-3,0.000000E+0,200.000000E+0
300.000000E+0,5.114320E+0,0.000000E+0,107.186000E-3,0.000000E+0,200.000000E+0
400.000000E+0,5.150490E+0,0.000000E+0,-676.479000E-3,0.000000E+0,200.000000E+0
500.000000E+0,5.334990E+0,0.000000E+0,-1.016160E+0,0.000000E+0,200.000000E+0
600.000000E+0,5.403160E+0,0.000000E+0,-1.753870E+0,0.000000E+0,200.000000E+0
750.000000E+0,5.214820E+0,0.000000E+0,-2.499800E+0,0.000000E+0,200.000000E+0
1.000000E+3,5.412810E+0,0.000000E+0,-3.633030E+0,0.000000E+0,200.000000E+0
1.200000E+3,5.067950E+0,0.000000E+0,-4.551990E+0,0.000000E+0,200.000000E+0
1.500000E+3,4.905790E+0,0.000000E+0,-6.012030E+0,0.000000E+0,200.000000E+0
2.000000E+3,4.565720E+0,0.000000E+0,-7.973850E+0,0.000000E+0,200.000000E+0
2.500000E+3,4.328500E+0,0.000000E+0,-9.938740E+0,0.000000E+0,200.000000E+0
3.000000E+3,3.689990E+0,0.000000E+0,-11.879900E+0,0.000000E+0,200.000000E+0
4.000000E+3,2.934020E+0,0.000000E+0,-15.781400E+0,0.000000E+0,200.000000E+0
5.000000E+3,1.344480E+0,0.000000E+0,-19.189300E+0,0.000000E+0,200.000000E+0
6.000000E+3,250.082000E-3,0.000000E+0,-23.060700E+0,0.000000E+0,200.000000E+0
7.500000E+3,-2.665200E+0,0.000000E+0,-27.702000E+0,0.000000E+0,200.000000E+0
10.000000E+3,-7.777090E+0,0.000000E+0,-35.792100E+0,0.000000E+0,200.000000E+0
12.000000E+3,-12.489600E+0,0.000000E+0,-41.110000E+0,0.000000E+0,200.000000E+0
15.000000E+3,-21.099500E+0,0.000000E+0,-48.833000E+0,0.000000E+0,200.000000E+0
20.000000E+3,-37.381900E+0,0.000000E+0,-57.326800E+0,0.000000E+0,200.000000E+0
25.000000E+3,-56.637800E+0,0.000000E+0,-64.389200E+0,0.000000E+0,200.000000E+0
30.000000E+3,-73.723400E+0,0.000000E+0,-61.335600E+0,0.000000E+0,200.000000E+0
40.000000E+3,-114.954000E+0,0.000000E+0,-53.595400E+0,0.000000E+0,200.000000E+0
50.000000E+3,-148.432000E+0,0.000000E+0,-29.555400E+0,0.000000E+0,200.000000E+0
60.000000E+3,-170.911000E+0,0.000000E+0,4.273690E+0,0.000000E+0,200.000000E+0
75.000000E+3,-186.311000E+0,0.000000E+0,63.752500E+0,0.000000E+0,200.000000E+0
100.000000E+3,-165.431000E+0,0.000000E+0,157.014000E+0,0.000000E+0,200.000000E+0
120.000000E+3,-125.093000E+0,0.000000E+0,215.030000E+0,0.000000E+0,200.000000E+0
150.000000E+3,-49.957000E+0,0.000000E+0,262.591000E+0,0.000000E+0,200.000000E+0
200.000000E+3,72.611500E+0,0.000000E+0,270.514000E+0,0.000000E+0,200.000000E+0
