Freq.	V(n002)
1.00000000000000e-01	(6.54251226002060e+01dB,1.28135425858967e+00°)
1.02329299228075e-01	(6.54267286079538e+01dB,1.30959136254320e+00°)
1.04712854805090e-01	(6.54284068526512e+01dB,1.33837458872575e+00°)
1.07151930523761e-01	(6.54301604175473e+01dB,1.36770909122312e+00°)
1.09647819614318e-01	(6.54319925018925e+01dB,1.39759965160029e+00°)
1.12201845430196e-01	(6.54339064238473e+01dB,1.42805064051872e+00°)
1.14815362149688e-01	(6.54359056232757e+01dB,1.45906597700401e+00°)
1.17489755493953e-01	(6.54379936644357e+01dB,1.49064908518334e+00°)
1.20226443461741e-01	(6.54401742385766e+01dB,1.52280284863829e+00°)
1.23026877081238e-01	(6.54424511663455e+01dB,1.55552956169096e+00°)
1.25892541179417e-01	(6.54448284000735e+01dB,1.58883087835724e+00°)
1.28824955169313e-01	(6.54473100258106e+01dB,1.62270775811801e+00°)
1.31825673855641e-01	(6.54499002651592e+01dB,1.65716040889673e+00°)
1.34896288259165e-01	(6.54526034768398e+01dB,1.69218822699683e+00°)
1.38038426460288e-01	(6.54554241579307e+01dB,1.72778973401999e+00°)
1.41253754462275e-01	(6.54583669448045e+01dB,1.76396251060391e+00°)
1.44543977074593e-01	(6.54614366136337e+01dB,1.80070312691082e+00°)
1.47910838816821e-01	(6.54646380805289e+01dB,1.83800707014412e+00°)
1.51356124843621e-01	(6.54679764011477e+01dB,1.87586866848867e+00°)
1.54881661891248e-01	(6.54714567698320e+01dB,1.91428101235107e+00°)
1.58489319246111e-01	(6.54750845181032e+01dB,1.95323587184281e+00°)
1.62181009735893e-01	(6.54788651126001e+01dB,1.99272361155369e+00°)
1.65958690743756e-01	(6.54828041522731e+01dB,2.03273310213044e+00°)
1.69824365246174e-01	(6.54869073648486e+01dB,2.07325162873178e+00°)
1.73780082874937e-01	(6.54911806024715e+01dB,2.11426479701130e+00°)
1.77827941003892e-01	(6.54956298364788e+01dB,2.15575643625998e+00°)
1.81970085860998e-01	(6.55002611512042e+01dB,2.19770849997481e+00°)
