# --- BURST CONFIGURATION LOG ---
# Frequency (Hz): 1000
# Amplitude Applied (V): 0.2
# Burst Cycles: 3
# Limiting Resistor (Ohm): 1000.0
# Hard Max Voltage Limit (V): 0.4
# Sense Channels AC Coupled: True
# V_Sample Calculation: CH4 - CH3
# Savitzky-Golay Filter: Window=101, Poly=3
# -------------------------------
Time_s,CH1_V_Supply_Raw,CH2_V_Resistor_Raw,CH3_V_SenseP_Raw,CH4_V_SenseN_Raw,I_Sample_A_Raw,V_Sample_V_Raw,I_Sample_A_Filt,V_Sample_V_Filt
0.0,0.0,-0.001864,0.0,0.0,1.864e-06,0.0,1.177589120437327e-06,-6.665801676595973e-05
4e-07,0.0,-0.001864,0.0,0.0,1.864e-06,0.0,1.1523459123999656e-06,-4.7727194600582006e-05
8e-07,0.0,-0.001864,0.0,0.0,1.864e-06,0.0,1.1280132728222531e-06,-3.011133169548475e-05
1.2e-06,0.0,-0.001864,0.0,0.0,1.864e-06,0.0,1.104574054062639e-06,-1.3777189681488019e-05
1.6e-06,-0.00206,-0.001864,0.0,0.0,-1.9600000000000022e-07,0.0,1.0820111084795738e-06,1.3084698105880922e-06
2e-06,-0.00206,-0.003728,-0.00148,-0.001504,1.6679999999999997e-06,-2.3999999999999933e-05,1.0603072884315068e-06,1.5178885149923514e-05
2.4e-06,-0.00206,-0.001864,-0.00148,-0.001504,-1.9600000000000022e-07,-2.3999999999999933e-05,1.0394454462768881e-06,2.7867294705698182e-05
2.8e-06,-0.00206,-0.003728,-0.00148,-0.001504,1.6679999999999997e-06,-2.3999999999999933e-05,1.0194084343741677e-06,3.9406936847092005e-05
3.2e-06,-0.00206,-0.001864,-0.00148,-0.001504,-1.9600000000000022e-07,-2.3999999999999933e-05,1.0001791050817955e-06,4.983104994328493e-05
3.6e-06,-0.00206,-0.003728,-0.00148,-0.001504,1.6679999999999997e-06,-2.3999999999999933e-05,9.817403107582213e-07,5.917287236345686e-05
4e-06,0.0,-0.001864,-0.00148,-0.001504,1.864e-06,-2.3999999999999933e-05,9.64074903761895e-07,6.74656424767877e-05
4.4e-06,0.0,0.0,0.0,0.0,0.0,0.0,9.471657364512666e-07,7.474259865245745e-05
4.8e-06,0.0,0.0,0.0,0.0,0.0,0.0,9.309956611847858e-07,8.103697925964594e-05
5.199999999999999e-06,0.0,0.0,0.0,0.0,0.0,0.0,9.155475303209027e-07,8.638202266753316e-05
5.6e-06,0.0,-0.001864,0.0,0.0,1.864e-06,0.0,9.00804196218067e-07,9.0810967245299e-05
6e-06,0.0,0.0,0.0,0.0,0.0,0.0,8.867485112347288e-07,9.43570513621234e-05
6.4e-06,0.0,-0.001864,0.0,0.0,1.864e-06,0.0,8.73363327729338e-07,9.70535133871863e-05
6.799999999999999e-06,0.0,-0.001864,0.0,0.0,1.864e-06,0.0,8.606314980603442e-07,9.893359168966761e-05
7.2e-06,-0.00206,-0.001864,0.0,0.0,-1.9600000000000022e-07,0.0,8.485358745861975e-07,0.00010003052463874727
7.6e-06,-0.00206,-0.001864,0.0,0.0,-1.9600000000000022e-07,0.0,8.370593096653479e-07,0.00010037755060360513
8e-06,-0.00206,-0.001864,0.0,0.0,-1.9600000000000022e-07,0.0,8.261846556562451e-07,0.00010000790795342118
8.4e-06,0.0,-0.001864,-0.00148,0.0,1.864e-06,0.00148,8.15894764917339e-07,9.895483505737535e-05
8.8e-06,0.0,0.0,0.0,0.0,0.0,0.0,8.061724898070796e-07,9.725157028464757e-05
9.2e-06,0.0,0.0,0.0,0.0,0.0,0.0,7.970006826839168e-07,9.493135200441772e-05
9.6e-06,0.0,0.0,0.0,0.0,0.0,0.0,7.883621959063005e-07,9.202741858586576e-05
9.999999999999999e-06,0.00206,0.001864,0.0,0.0,1.9600000000000022e-07,0.0,7.802398818326805e-07,8.857300839817156e-05
1.0399999999999999e-05,0.00206,0.0,0.0,0.001504,2.06e-06,0.001504,7.726165928215068e-07,8.460135981051513e-05
1.08e-05,0.0,0.0,0.0,0.0,0.0,0.0,7.654751812312292e-07,8.014571119207631e-05
1.12e-05,0.0,0.0,0.0,0.0,0.0,0.0,7.587984994202976e-07,7.523930091203512e-05
1.1599999999999999e-05,0.0,-0.001864,0.0,0.0,1.864e-06,0.0,7.52569399747162e-07,6.991536733957134e-05
1.2e-05,0.0,-0.001864,0.0,0.0,1.864e-06,0.0,7.467707345702723e-07,6.420714884386512e-05
1.24e-05,0.0,-0.001864,0.0,0.0,1.864e-06,0.0,7.413853562480782e-07,5.814788379409616e-05
1.28e-05,-0.00206,-0.001864,0.0,0.0,-1.9600000000000022e-07,0.0,7.363961171390297e-07,5.177081055944449e-05
1.3199999999999999e-05,0.0,-0.001864,0.0,0.0,1.864e-06,0.0,7.317858696015768e-07,4.510916750909002e-05
1.3599999999999999e-05,0.0,-0.001864,0.0,0.0,1.864e-06,0.0,7.275374659941692e-07,3.8196193012212575e-05
1.4e-05,0.0,0.0,0.0,0.0,0.0,0.0,7.236337586752571e-07,3.106512543799242e-05
1.44e-05,0.0,0.0,0.0,0.0,0.0,0.0,7.200576000032901e-07,2.3749203155609013e-05
1.4799999999999999e-05,0.0,0.0,0.0,0.0,0.0,0.0,7.167918423367182e-07,1.6281664534242645e-05
1.52e-05,0.0,0.0,0.0,0.0,0.0,0.0,7.138193380339913e-07,8.695747943072979e-06
1.56e-05,0.0,0.0,0.0,0.0,0.0,0.0,7.111229394535592e-07,1.0246917512800595e-06
1.6e-05,0.0,-0.001864,0.0,0.0,1.864e-06,0.0,7.086854989538721e-07,-6.698265671956164e-06
